stop_name,parent_station,stop_id,stop_lat,stop_lon,location_type,platform_code
Frankfurt(Oder),126796,586531,52.336563,14.545988,,11
Frankfurt(Oder),126796,677870,52.336643,14.54624,,9
Frankfurt(Oder)(Gr),,442310,52.321175,14.576403,1,
Frankfurt(Oder)(Gr),442310,461493,52.321175,14.576403,,
Frankfurt-Niederrad,648901,316145,50.080997,8.637013,,
Fredericia st,,263627,55.56809,9.738813,1,
Fredericia st,263627,621200,55.56809,9.738813,,
Freiberg(Sachs),421988,120129,50.908726,13.344141,,
"Freiberg, Bahnhof",,421988,50.90936,13.342219,1,
Freiburg Hauptbahnhof,,314703,47.99746,7.840954,1,
"Freiburg, Hauptbahnhof",314703,122054,47.99793,7.842544,,
Freilassing,,457704,47.836914,12.977197,1,
Freilassing,457704,379381,47.836918,12.977193,,
Frick,,273397,47.507347,8.013092,1,
Frick,273397,589215,47.507347,8.013092,,
Friedberg (Hessen) Bahnhof,,68317,50.332745,8.761246,1,
Friedberg(Hess),68317,21398,50.332607,8.762056,,
Fulda,673661,4122,50.554905,9.684169,,
Fulda Bahnhof,,673661,50.554924,9.683767,1,
"GD, Bahnhof",,545279,48.800285,9.787118,1,
Garmisch-Partenkirchen,,253351,47.491455,11.097014,1,
Garmisch-Partenkirchen,253351,520760,47.49145,11.097013,,
Gdansk Glowny,,539185,54.35552,18.643803,1,
Gdansk Glowny,539185,273513,54.35552,18.643803,,
Gdansk Oliwa,,258745,54.409893,18.571741,1,
Gdansk Oliwa,258745,588384,54.409893,18.571741,,
Gdansk Wrzeszcz,,18055,54.38186,18.605434,1,
Gdansk Wrzeszcz,18055,355448,54.38186,18.605434,,
Gdynia Glowna,,24694,54.52084,18.529556,1,
Gdynia Glowna,24694,363514,54.52084,18.529556,,
Geilenkirchen,,616139,50.96104,6.124518,1,
Geilenkirchen,616139,145333,50.96104,6.124518,,
Gelsenkirchen Hbf,,66581,51.504925,7.102206,1,
Gelsenkirchen Hbf,66581,208293,51.5049,7.102455,,
Gera Hbf,,472409,50.88342,12.077098,1,
Gera Hbf,472409,155443,50.883102,12.078252,,
Gießen,270438,132380,50.57906,8.661462,,
Gießen Bahnhof,,270438,50.579884,8.663799,1,
Gliwice,,40417,50.301105,18.677158,1,
Gliwice,40417,651063,50.301105,18.677158,,
Glogow,,60007,51.668957,16.079712,1,
Glogow,60007,182201,51.668957,16.079712,,
Gniezno,,12501,52.52965,17.602184,1,
Gniezno,12501,107765,52.52965,17.602184,,
Goleniow,,530289,53.559483,14.839893,1,
Goleniow,530289,177751,53.559483,14.839893,,
Golling-Abtenau,,164069,47.60081,13.164054,1,
Golling-Abtenau,164069,399383,47.60081,13.164054,,
Gotha,,540838,50.93905,10.712328,1,
Gotha,540838,158019,50.93907,10.712568,,
Graz Hbf,,25479,47.0724,15.416519,1,
Graz Hbf,25479,434702,47.0724,15.416519,,
Greifswald,,578692,54.092926,13.370264,1,
Greifswald,578692,457697,54.092922,13.370262,,
Gryfino,,634076,53.254215,14.49302,1,
Gryfino,634076,582102,53.254215,14.49302,,
Györ,,85264,47.68198,17.63479,1,
Györ,85264,89288,47.68198,17.63479,,
Gäufelden,,467066,48.559715,8.850103,1,
Gäufelden,467066,117200,48.55966,8.850308,,
Göppingen,,500240,48.70012,9.652344,1,
Göppingen,500240,108789,48.700027,9.651969,,
Göttingen,,456337,51.53672,9.925875,1,
Göttingen,456337,295712,51.53698,9.925599,,
Göttingen,456337,327020,51.53674,9.925647,,
Göttingen,456337,50879,51.536865,9.92561,,
Göttingen,456337,539057,51.536682,9.926424,,
Göttingen,456337,564097,51.53667,9.925681,,
Göttingen,456337,588492,51.536587,9.925826,,
Günzburg,,201811,48.460564,10.27926,1,
Günzburg,201811,40872,48.460564,10.279262,,
Gütersloh Hbf,87584,120399,51.90694,8.385071,,
"Gütersloh, Hbf/ZOB",,87584,51.906944,8.385072,1,
Halle(Saale)Hbf,,201326,51.47751,11.987085,1,
Halle(Saale)Hbf,201326,561392,51.47751,11.987085,,
Hamburg Dammtor,626971,31317,53.560764,9.989574,,
Hamburg Hbf,633480,520150,53.55274,10.006905,,
"Hamburg, Hamburg Dammtor",,626971,53.560795,9.989409,1,
"Hamburg, Hamburg Hbf",,633480,53.552753,10.007925,1,
"Hamburg, Hamburg-Altona",,436961,53.553257,9.93541,1,
"Hamburg, Hamburg-Harburg",,305819,53.456387,9.990953,1,
Hamburg-Altona(S),436961,522796,53.552704,9.935187,,
Hamburg-Harburg(S),305819,25731,53.455914,9.99171,,
"Hamm (Westf), Hauptbahnhof",,435469,51.678078,7.807824,1,
Hamm(Westf)Hbf,435469,599204,51.678078,7.807821,,
Hanau Hauptbahnhof,,20661,50.121346,8.928415,1,
Hanau Hbf,20661,671725,50.120953,8.929,,
Hannover Bahnhof Linden/Fischerhof,,481259,52.35274,9.722152,1,
Hannover Hauptbahnhof,,180650,52.37649,9.74107,1,
Hannover Hbf,180650,566573,52.376762,9.741021,,
Hannover Messe / Laatzen,,464404,52.317486,9.792149,1,
Hannover Messe/Laatzen,464404,585409,52.3169,9.792863,,
Hannover-Linden/Fischerhof,481259,41373,52.352634,9.723114,,
Hauptbahnhof,359378,473878,50.971928,11.037424,,
Hauptbahnhof (oben),,114314,48.784878,9.182794,1,
Hauptbahnhof A1,276461,315019,54.315235,10.131234,,
Hegyeshalom,,168478,47.913975,17.145296,1,
Hegyeshalom,168478,653350,47.913975,17.145296,,
Hegyeshalom(Gr),,556745,47.93826,17.095844,1,
Hegyeshalom(Gr),556745,15534,47.93826,17.095844,,
Heide(Holst),,662558,54.192932,9.101242,1,
Heide(Holst),662558,567574,54.19306,9.101122,,
Heide(Holst),662558,96100,54.19317,9.100833,,
Heidelberg Hbf,261354,275928,49.40357,8.675442,,
"Heidelberg, Hauptbahnhof",,261354,49.404316,8.676243,1,
Helmstedt,430708,113775,52.222088,11.010553,,
"Helmstedt, Bahnhof",,430708,52.22207,11.010093,1,
Hengelo,,192269,52.261852,6.793726,1,
Hengelo,192269,203901,52.261852,6.793726,,
Herford,36739,334912,52.11961,8.663643,,
"Herford, Bahnhof/ZOB",,36739,52.11961,8.66364,1,
Hermsdorf-Klosterlausnitz,,650070,50.90385,11.858619,1,
Hermsdorf-Klosterlausnitz,650070,512566,50.903778,11.858626,,
Herne Wanne-Eickel Hbf,,10642,51.531254,7.16578,1,
Herne-Wanne-Eickel Hbf,10642,527986,51.531258,7.165783,,
Herrenberg,,657995,48.59407,8.86351,1,
Herrenberg,657995,582538,48.59399,8.862662,,
Herzogenrath,,610116,50.870914,6.094486,1,
Herzogenrath,610116,590586,50.870914,6.094486,,
Hildesheim Hauptbahnhof,,422009,52.159668,9.952588,1,
Hildesheim Hbf,422009,313900,52.160625,9.953497,,
Hilversum,,613794,52.22667,5.181399,1,
Hilversum,613794,408556,52.22667,5.181399,,
Hnevice,,592618,50.452686,14.361715,1,
Hnevice,592618,40288,50.452686,14.361715,,
Hochfilzen,,523575,47.467712,12.626525,1,
Hochfilzen,523575,335773,47.467712,12.626525,,
Hoeje Taastrup st,,566128,55.64862,12.268799,1,
Hoeje Taastrup st,566128,393905,55.64862,12.268799,,
Homburg (Saar) Hbf,,24115,49.32808,7.337035,1,
Homburg(Saar)Hbf,24115,13568,49.327606,7.336528,,4
Homburg(Saar)Hbf,24115,183689,49.328083,7.337035,,
Homburg(Saar)Hbf,24115,448515,49.327637,7.336362,,5
Hopfgarten im Brixental,,667303,47.455353,12.14918,1,
Hopfgarten im Brixental,667303,564552,47.455353,12.14918,,
Horb,680343,76684,48.44147,8.688982,,
Horb Bahnhof/ZOB,,680343,48.44154,8.688676,1,
Horka(Gr),,298588,51.2862,15.032184,1,
Horka(Gr),298588,40270,51.2862,15.032184,,
Hoyerswerda,525213,62117,51.43279,14.231407,,
