route_id,service_id,trip_id
17,139,541249
17,139,740089
17,153,1001991
17,153,1068450
17,153,1100117
17,153,1109429
17,153,1118687
17,153,1137238
17,153,1192054
17,153,141410
17,153,1462589
17,153,298605
17,153,733882
17,153,767778
17,153,777060
17,170,694073
17,174,1439124
17,174,35624
17,20,241228
17,203,1460776
17,208,771738
17,217,1145707
17,235,402282
17,235,92229
17,253,389945
17,256,749146
17,291,396276
17,312,1451250
17,314,704068
17,327,805823
17,327,889410
17,329,1240356
17,38,450822
17,386,1521420
17,386,450336
17,386,623095
17,386,857064
17,386,863318
17,386,880814
17,392,1219196
17,395,1408943
17,404,341136
17,404,817167
17,405,1479191
17,428,1476730
17,428,643578
17,451,1133834
17,458,1317796
17,458,185587
17,458,728123
17,461,10745
17,461,1196845
17,461,326904
17,512,1007866
17,512,1237338
17,512,177260
17,512,255234
17,512,459520
17,512,545600
17,512,650126
17,512,669286
17,512,976258
17,529,1493344
17,529,175816
17,529,410730
17,529,631165
17,529,881828
17,540,1101413
17,540,1510249
17,540,312090
17,540,439331
17,540,474834
17,56,799966
17,592,1053596
17,599,715917
17,615,548970
17,62,408190
17,62,599636
17,621,1084037
17,640,106662
17,655,328855
17,663,1093793
17,681,683489
17,693,70384
17,706,508991
17,727,1174332
17,727,1279850
17,727,1301879
17,727,883974
17,737,946563
17,766,1375772
17,766,1504468
17,766,254524
17,766,613829
17,774,377182
17,789,62854
17,794,1339194
17,794,757610
17,794,858019
17,798,784676
17,803,75139
17,807,183956
17,815,109175
17,862,392599
17,873,1161864
17,873,961332
17,881,1481428
17,884,233208
17,89,992799
17,896,1203860
17,896,126908
17,896,1485098
17,899,839349
17,90,528303
17,927,1095854
17,954,319787
17,954,984025
17,966,1469917
17,966,740612
17,983,305563
18,148,1137635
18,148,389140
18,204,260352
18,368,491735
18,368,523117
18,371,1437142
18,38,933527
18,391,427813
18,427,106687
18,460,827931
18,523,130820
18,561,1349736
18,593,483709
18,625,1257032
18,648,494931
18,727,272089
18,745,79582
18,800,1229895
18,81,24753
18,892,1233842
18,941,681128
19,107,270462
19,21,442550
19,322,1481321
19,358,1121969
19,461,1459385
19,504,569449
19,561,1462819
19,648,1404555
19,826,796629
19,966,120227
2,371,1228049
2,371,271451
2,371,315151
2,371,33257
2,371,499603
2,371,576607
2,371,687137
2,371,775841
2,371,891810
2,371,947391
2,62,1013651
2,62,1016558
2,62,1089705
2,62,1469166
2,62,232481
2,62,792166
2,698,1341160
2,698,480921
2,698,808802
20,211,1266638
20,330,751940
20,352,1005152
20,380,903086
20,529,914180
20,589,666069
20,774,1253116
20,838,1216154
20,838,334027
20,838,554630
20,920,855293
20,932,231543
21,1019,167551
21,1020,527266
21,105,1405514
21,11,1108533
21,113,1124334
21,113,188513
21,113,321715
21,12,1036139
21,12,1062444
21,12,1068215
21,12,1160004
21,12,1183094
21,12,1229765
21,12,1235231
21,12,1282558
21,12,1317210
21,12,1469084
21,12,1502988
21,12,171153
21,12,186805
21,12,199669
21,12,209982
21,12,230381
21,12,258606
21,12,36266
21,12,380616
21,12,744719
21,12,764909
21,12,863546
21,12,96033
21,12,99165
21,13,564717
21,13,627746
21,13,984452
21,143,570326
21,148,564975
21,169,1293446
21,169,629144
21,169,657781
21,169,922296
21,171,306935
21,173,75031
21,193,1473374
21,199,37891
21,20,432125
21,208,975505
21,210,119487
21,241,1151588
21,241,1160457
21,241,225308
21,241,657253
21,249,1322721
21,268,292442
21,284,790895
21,298,1340068
21,301,1212718
21,301,1317582
21,304,148247
21,304,549425
21,304,598112
21,310,1097547
21,327,208557
21,337,1105381
21,343,85927
21,343,871773
21,358,1086572
